r,BM,TM,MC,BS
0.01,270.0371238921704,269.8462150713621,264.9315754273479,270.07969412171644
0.02,270.71221681633915,270.53204394981805,284.82951330243225,270.7687854372675
0.03,271.32425517221435,271.154378309742,274.71845926432735,271.3935951006582
0.05,272.3638421092923,272.21323002228416,259.01891434833544,272.4551442850031
0.1,273.9456329197017,273.8355519182002,261.57059090492027,274.07250555243934
0.15,274.2110472850601,274.1313300908692,245.4925820761713,274.35003244511296
