V,BM,TM,MC,BS,,,,V,0.23,0.3,0.35,0.2,0.15,0.4
0.23,101.9828114,102.0654245,97.85467734,103.9429603,,,,BM,101.9828114,137.8609625,155.6388585,81.42350006,40.56368951,165.0352401
0.3,137.8609625,138.8197284,136.7296376,139.6710877,,,,TM,102.0654245,138.8197284,155.179093,80.96361491,40.65158269,166.7897402
0.35,155.6388585,155.179093,145.169357,156.0443783,,,,MC,97.85467734,136.7296376,145.169357,85.33304771,32.14333648,181.1508809
0.2,81.42350006,80.96361491,85.33304771,82.42593841,,,,BS,103.9429603,139.6710877,156.0443783,82.42593841,39.28920708,167.5484657
0.15,40.56368951,40.65158269,32.14333648,39.28920708,,,,,,,,,,
0.4,165.0352401,166.7897402,181.1508809,167.5484657,,,,,,,,,,
