Var1,variableK,Var3,variableT,Var5,variableV,Var7,variableSTEP,Var9,variableR
785,149.072481748671,100,149.212776409783,0.23,149.831640820903,5,145.451103082428,0.01,143.327358252384
800,135.073673121723,200,147.4926222454,0.3,150.664110241997,10,149.574601268836,0.02,146.460325510827
700,228.483312989352,300,147.487366065745,0.35,155.850276556142,100,146.40338939235,0.03,152.040786990518
900,48.5183826686359,400,158.107950932093,0.2,145.32109869762,1000,143.121882749611,0.05,154.563372256143
750,181.676186854465,50,144.81752408738,0.15,145.450966587275,2000,143.513289174165,0.1,153.145760427715
1000,9.38880468847953,500,158.64313428943,0.4,154.594364349316,5000,145.6334067738,0.15,165.062365193864
