T,BM,TM,MC,BS
100,155.5790081494039,155.34989847982058,156.37209728453232,155.51597471311356
200,171.88441672904494,170.672834574531,172.2581894338091,170.1958936126855
300,184.6971466098056,182.75758952690992,183.7471253752031,183.85155510553534
400,195.68985634120085,195.3512839370649,198.89245557324458,196.35067992734673
50,148.56264355590238,148.7628308015861,148.2225092419053,148.73738869560475
500,205.51162680058604,208.20246427541477,205.8548902594144,207.8886888462402
