vol,BM,TM,MC,BS
0.23,155.5790081494039,155.34989847982058,153.96597370504378,155.51597471311356
0.3,165.79121963642936,164.83043929704357,165.8055919717058,164.14837160300942
0.35,173.13247794475723,171.64752376764713,172.82095881708028,171.5658358703729
0.2,151.3778058563957,152.3539590086503,149.7834485470899,152.71026498954677
0.15,149.60793297945057,149.53803146867634,148.75845183809744,149.64372824619807
0.4,180.48985982598384,178.48146421894626,178.51786695075592,179.67210473071327
