T,BM,TM,MC,BS
100,152.90738447109393,152.68856006334377,153.69654663297231,152.87162443351394
200,167.0059841787755,165.7802909806653,164.51900489938868,165.30581157342635
300,177.66335931845128,175.68108652606244,180.2661270463804,176.82079234078083
400,186.5189504972723,186.1581985082326,187.2037172552228,187.21926397120149
50,147.13899677168396,147.34648837192873,147.11064462621272,147.3242762631163
500,194.2105774135834,196.94221897007074,198.92125590628862,196.67402809335272
