r,BM,TM,MC,BS
0.01,152.90738447109393,152.68856006334377,150.5276357905164,152.87162443351394
0.02,155.6308231663939,155.40026921200146,155.09648899880182,155.56164634251434
0.03,158.3571693587483,158.117026782216,159.24154052481293,158.2587322302811
0.05,163.81696892436435,163.56355632627822,164.73714399290287,163.67153082921766
0.1,177.48999460978982,177.2320873710454,177.0909961019572,177.28353884022408
0.15,191.16094141211045,190.92805142767935,191.091871459469,190.95281347674643
