TreeSteps,BM,TM,MC,BS
0.008,152.90738447109393,152.68856006334377,154.25555076184133,152.87162443351394
0.001,155.24410280105099,155.0162048087112,156.42185065378143,155.1843379021011
0.003,154.5751072371013,154.34969548304431,152.91468164805565,154.52199900228607
0.004,154.241017500942,154.01688051920956,154.44321324141308,154.19129777604508
0.006,153.57365532140722,153.35213171867076,152.51456991011608,153.5308339286247
0.002,154.90946908376708,154.68280369471807,154.02786211656235,154.8530125214287
