TreeSteps,BM,TM,MC,BS
5,152.90738447109393,152.68856006334377,153.39720655952226,152.87162443351394
10,152.6885600633436,153.026863948527,156.31315772198235,152.87162443351394
100,152.8417668377092,152.87718695887577,151.4427322868359,152.87162443351394
1000,152.874832188152,152.87162272707354,152.17250866081145,152.87162443351394
2000,152.871622727122,152.87060459767113,150.4701157907276,152.87162443351394
5000,152.87228923191594,152.87180170223678,153.23996730325405,152.87162443351394
