r,BM,TM,MC,BS
0.01,155.5790081494039,155.34989847982058,154.61563127397727,155.51597471311356
0.02,158.3134726843215,158.07432479909147,158.4974378800674,158.2202711565369
0.03,161.0505273906863,160.80338504172389,160.945431095445,160.93113614347033
0.05,166.53081514093077,166.27330434365103,167.50228032718218,166.37003598862748
0.1,180.2499073287477,179.99355938337573,178.33309386992738,180.0391850989064
0.15,193.96010713257056,193.7323677250095,194.18494147661556,193.7549484383028
