TreeSteps,BM,TM,MC,BS
5,155.5790081494039,155.34989847982058,155.90728304679936,155.51597471311356
10,155.34989847982033,155.67276352101808,155.88950076244208,155.51597471311356
100,155.48788802521725,155.52187273758906,154.69237625709638,155.51597471311356
1000,155.51920360224958,155.51602139431202,155.71814713143652,155.51597471311356
2000,155.51602139434834,155.51500387800573,155.33775047511884,155.51597471311356
5000,155.5166430529549,155.516157564212,153.91109415873967,155.51597471311356
